,account_value,date,daily_return
574,117859683.8736315,2018-04-13,0.0004284977096984
575,118860430.16181274,2018-04-16,0.008490997559897
576,119979075.80556647,2018-04-17,0.0094114218014427
577,119844095.87779877,2018-04-18,-0.00112502890076
578,119058183.59459797,2018-04-19,-0.0065577889127066
579,118879596.32178064,2018-04-20,-0.0014999999783755
580,118822818.05285102,2018-04-23,-0.0004776115556106
581,117512206.65210144,2018-04-24,-0.0110299639600083
582,117231063.7210004,2018-04-25,-0.0023924572528315
583,118111420.31076984,2018-04-26,0.0075095845915431
584,117827888.55224489,2018-04-27,-0.0024005448226677
585,116669014.83262768,2018-04-30,-0.0098353092281997
586,116127303.7238001,2018-05-01,-0.004643144622458
587,115361351.088844,2018-05-02,-0.006595801421325
588,114888820.039234,2018-05-03,-0.0040960949672484
589,116379768.82166933,2018-05-04,0.0129773182623529
590,116618930.43181588,2018-05-07,0.0020550101840555
591,116399380.6853249,2018-05-08,-0.0018826252794295
592,117155244.16629069,2018-05-09,0.0064937070671291
593,118219440.42153458,2018-05-10,0.0090836416484556
594,118976773.2753657,2018-05-11,0.0064061617203625
595,120003086.32607968,2018-05-14,0.0086261630943598
596,118977053.4254182,2018-05-15,-0.0085500542700499
597,119538013.10221848,2018-05-16,0.0047148560218119
598,119080796.64956972,2018-05-17,-0.0038248624080591
599,119129079.39680128,2018-05-18,0.000405462077766
600,120327399.38509338,2018-05-21,0.0100590048572495
601,119273029.1445308,2018-05-22,-0.0087625116636003
602,119786223.40949143,2018-05-23,0.0043026849292036
603,119377822.80571046,2018-05-24,-0.0034094121356914
604,119082986.0644159,2018-05-25,-0.0024697781745811
605,117163955.27350272,2018-05-29,-0.0161150711309433
606,118515027.51615468,2018-05-30,0.0115314666485788
607,117499494.1573528,2018-05-31,-0.0085688151121886
608,118598954.52591176,2018-06-01,0.0093571498025906
609,119510099.776529,2018-06-04,0.0076825740518495
610,119478421.37088276,2018-06-05,-0.0002650688578244
611,120903191.47502773,2018-06-06,0.0119249157111158
612,120837684.90685847,2018-06-07,-0.000541810082679
613,121424280.92640635,2018-06-08,0.0048544129259018
614,121210075.26122478,2018-06-11,-0.0017641089866649
615,121142016.93204258,2018-06-12,-0.0005614906932077
616,120321688.2114198,2018-06-13,-0.006771628386235
617,120379208.90077588,2018-06-14,0.0004780575323628
618,120159579.60517149,2018-06-15,-0.0018244786422
619,119478256.6388111,2018-06-18,-0.0056701510491224
620,118151313.81012176,2018-06-19,-0.0111061448837568
621,118112333.95555045,2018-06-20,-0.0003299146942536
622,117266171.18295908,2018-06-21,-0.0071640509018287
623,117704183.7408802,2018-06-22,0.0037351996189738
624,115846637.07977206,2018-06-25,-0.0157814837338103
625,116664803.73490375,2018-06-26,0.0070624981074618
626,116082436.23765989,2018-06-27,-0.0049918011139605
627,116700966.74564222,2018-06-28,0.0053283729048896
628,116532359.66108952,2018-06-29,-0.0014447788159304
629,116497081.4231202,2018-07-02,-0.0003027334044544
630,115810196.84131974,2018-07-03,
631,116533098.8807484,2018-07-05,0.0062421277153958
632,117043091.60762209,2018-07-06,0.0043763765983393
633,119080939.8018612,2018-07-09,0.0174110933524453
634,119517526.8657558,2018-07-10,0.003666305158668
635,118645989.73593676,2018-07-11,-0.0072921282147844
636,119636625.5300596,2018-07-12,0.0083495092950687
637,120059729.6086432,2018-07-13,0.0035365765016273
638,120137828.02922192,2018-07-16,0.0006504963890332
639,120609533.30975316,2018-07-17,0.0039263676418095
640,121034732.99352635,2018-07-18,0.0035254235059611
641,120118245.32580484,2018-07-19,-0.0075721046765192
642,120261142.61488315,2018-07-20,0.0011896384990535
643,119965800.95964834,2018-07-23,-0.0024558360981203
644,120530430.8266592,2018-07-24,0.0047065902323344
645,121710977.3003768,2018-07-25,0.009794592665278
646,122062309.4008657,2018-07-26,0.0028866098053081
647,121677801.59780765,2018-07-27,-0.0031500944472163
648,121425742.06636973,2018-07-30,-0.0020715325895767
649,121787915.0371348,2018-07-31,0.0029826704338122
650,121451485.64764346,2018-08-01,-0.0027624201415121
651,121866636.51796964,2018-08-02,0.0034182444793686
652,122679258.38663656,2018-08-03,0.0066681242043395
653,122841852.22450311,2018-08-06,0.0013253571957054
654,123568667.15193672,2018-08-07,0.0059166718367718
655,123648528.48160093,2018-08-08,0.0006462910987459
656,123920315.76402327,2018-08-09,0.0021980632180576
657,123247168.71210869,2018-08-10,-0.0054320960026961
658,123313655.04999104,2018-08-13,0.0005394552960291
659,123957889.83837116,2018-08-14,0.0052243588767113
660,123313329.71511737,2018-08-15,-0.0051998313628464
