date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-03-31,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0
2016-04-01,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0
2016-04-04,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0
2016-04-05,0,1,0,0,0,-631,0,0,0,0,0,0,0,-470,0,0,0,0,0,0,0,0,0,0,0,1092,0,0,0
2016-04-06,0,7146,0,0,0,-2272,0,0,0,0,0,-1583,0,-942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-2747,0,0,0,0,0,0,0,0,-1826,0,0,4803,0,0,0
2016-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-2747,0,0,0,0,0,0,0,0,-1826,0,0,4769,0,1,0
2016-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2747,0,0,0,0,0,0,0,0,-1826,0,0,4769,0,2,0
2016-04-12,0,0,0,0,0,-3036,0,0,0,0,0,-1695,0,-3362,0,0,0,0,0,0,0,0,-3267,0,0,11611,0,0,0
2016-04-13,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,1,0,0
2016-04-14,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,1,1,0
2016-04-15,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,1,0,0
2016-04-18,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,0,1,0
2016-04-19,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,0,1,0
2016-04-20,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,0,0,0
2016-04-21,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-996,0,0,0,0,0,0,1,0,0
2016-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1644,0,0,0,0,0,0,0,-1063,0,0,2010,0,1,0
